num_hidden,hidden_size,lr,alpha,batch_size,num_epochs,val_acc,val_loss
1,30,0.001,0.0001,128,100,83.32916666666665,0.42466919782914614
2,30,0.001,0.0001,128,100,95.87083333333332,0.1784470927754515
1,60,0.001,0.0001,128,100,93.75,0.2508436766109969
2,60,0.001,0.0001,128,100,96.4875,0.16222937654115652
1,120,0.001,0.0001,128,100,96.41666666666667,0.18646268601480284
2,120,0.001,0.0001,128,100,96.65833333333333,0.16824382529839088
1,240,0.001,0.0001,128,100,96.68750000000001,0.17007597031954086
2,240,0.001,0.0001,128,100,96.53333333333333,0.17100834666114104
1,30,0.001,0.001,128,100,88.78333333333335,0.3684817993327191
2,30,0.001,0.001,128,100,95.7875,0.18096701643968882
1,60,0.001,0.001,128,100,93.30416666666666,0.2846098872391801
2,60,0.001,0.001,128,100,96.08333333333334,0.17154105250772675
1,120,0.001,0.001,128,100,95.97916666666666,0.22863682147703673
2,120,0.001,0.001,128,100,96.60833333333333,0.16816967117943263
1,240,0.001,0.001,128,100,96.61666666666667,0.20603883105673287
2,240,0.001,0.001,128,100,95.95,0.17836687811895421
1,30,0.001,0.01,128,100,51.13333333333333,0.6930457413196563
2,30,0.001,0.01,128,100,50.49583333333334,0.6930961191654206
1,60,0.001,0.01,128,100,51.10416666666667,0.6930068925807351
2,60,0.001,0.01,128,100,50.208333333333336,0.6931004423844186
1,120,0.001,0.01,128,100,50.93333333333333,0.6930747138826471
2,120,0.001,0.01,128,100,50.15,0.6931350682911119
1,240,0.001,0.01,128,100,50.90833333333334,0.6930517635847393
2,240,0.001,0.01,128,100,50.391666666666666,0.6931212321708077
1,30,0.001,0.1,128,100,50.44166666666666,0.6931116697035338
2,30,0.001,0.1,128,100,50.2,0.6930645716817755
1,60,0.001,0.1,128,100,50.45833333333333,0.6931105732917786
2,60,0.001,0.1,128,100,50.5,0.6931003109404916
1,120,0.001,0.1,128,100,50.47083333333333,0.6931161111906955
2,120,0.001,0.1,128,100,50.141666666666666,0.6931214150629545
1,240,0.001,0.1,128,100,50.24583333333334,0.6931390555281387
2,240,0.001,0.1,128,100,50.141666666666666,0.6931078098322215
1,30,0.01,0.0001,128,100,89.52916666666667,0.2748555033222625
2,30,0.01,0.0001,128,100,68.93333333333334,0.48882031617195987
1,60,0.01,0.0001,128,100,95.68333333333334,0.18613605628672397
2,60,0.01,0.0001,128,100,59.6625,0.5874091142494428
1,120,0.01,0.0001,128,100,96.04166666666666,0.17473573739591397
2,120,0.01,0.0001,128,100,69.23750000000001,0.4743033268734028
1,240,0.01,0.0001,128,100,96.30416666666667,0.17259970819087406
2,240,0.01,0.0001,128,100,78.24583333333334,0.3726550827685155
1,30,0.01,0.001,128,100,58.80833333333334,0.6268594682216644
2,30,0.01,0.001,128,100,50.525,0.6930636942386628
1,60,0.01,0.001,128,100,51.483333333333334,0.6926197070824472
2,60,0.01,0.001,128,100,50.66666666666667,0.6930507299147154
1,120,0.01,0.001,128,100,64.125,0.5774572187348415
2,120,0.01,0.001,128,100,50.53333333333334,0.6930217322550323
1,240,0.01,0.001,128,100,59.60416666666667,0.6155497554101441
2,240,0.01,0.001,128,100,50.44166666666667,0.6930876358559257
1,30,0.01,0.01,128,100,50.67916666666666,0.693040606850072
2,30,0.01,0.01,128,100,50.349999999999994,0.6930971594233262
